City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,san quintin,20,PH,1520902800,51,17.54,120.52,80.6,2.24
88,prince rupert,20,CA,1520902800,29,54.32,-130.32,60.8,11.41
89,mehran,0,IR,1520902800,64,33.12,46.17,39.2,4.7
90,voyvozh,76,RU,1520906967,83,62.89,54.96,14.49,10.2
91,torbay,90,CA,1520905980,100,47.66,-52.73,30.2,23.04
92,kokkola,75,FI,1520905800,100,63.84,23.13,28.4,3.36
93,cherskiy,32,RU,1520906969,72,68.75,161.3,-16.3,5.28
94,plettenberg bay,0,ZA,1520906969,95,-34.05,23.37,71.37,8.63
95,quang ngai,0,VN,1520906970,65,15.12,108.8,77.49,3.15
96,salym,56,RU,1520906971,88,60.06,71.48,2.25,8.19
97,longyearbyen,0,NO,1520902200,65,78.22,15.63,3.2,5.82
98,oum hadjer,0,TD,1520906972,26,13.3,19.7,67.5,8.08
99,nikolskoye,90,RU,1520904600,100,59.7,30.79,33.8,6.71
100,faanui,80,PF,1520906973,100,-16.48,-151.75,81.45,11.43
101,hasaki,20,JP,1520904600,58,35.73,140.83,59.0,2.24
102,trelew,0,AR,1520906974,30,-43.25,-65.31,58.32,20.83
103,lagoa,75,PT,1520904600,100,37.14,-8.45,59.0,6.93
104,ancud,92,CL,1520906975,73,-41.87,-73.83,52.74,4.94
105,atuona,64,PF,1520906976,100,-9.8,-139.03,80.37,16.46
106,avera,1,US,1520904900,56,33.19,-82.53,50.0,10.29
107,plouzane,0,FR,1520904600,81,48.38,-4.62,44.6,8.05
108,namatanai,92,PG,1520906978,100,-3.66,152.44,82.98,12.44
109,jalu,0,LY,1520906979,46,29.03,21.55,57.33,4.16
110,mar del plata,8,AR,1520906979,58,-46.43,-67.52,54.99,15.01
111,nanortalik,0,GL,1520906980,100,60.14,-45.24,22.5,4.72
112,oskarshamn,92,SE,1520904000,100,57.26,16.44,35.6,5.82
113,rio grande,0,BR,1520906826,100,-32.03,-52.1,64.71,4.72
114,muriti,56,TZ,1520906981,100,-1.99,32.93,71.73,2.59
115,san pedro de macoris,20,DO,1520906400,78,18.46,-69.3,78.8,4.7
116,barrow,44,AR,1520906983,69,-38.31,-60.23,62.82,17.02
117,oranjemund,92,ZA,1520906707,98,-28.55,16.43,63.45,3.6
118,poronaysk,24,RU,1520906983,92,49.22,143.1,29.97,4.38
119,champagnole,90,FR,1520904600,81,46.75,5.91,44.6,18.34
120,borisoglebskiy,92,RU,1520906984,89,57.26,39.15,26.46,16.69
121,nantucket,40,US,1520903040,100,41.28,-70.1,39.2,23.04
122,ostrovnoy,76,RU,1520906985,87,68.05,39.51,21.87,7.63
123,toguchin,0,RU,1520906986,43,55.24,84.4,-14.14,2.93
124,vegueta,92,PE,1520906987,77,-11.02,-77.64,62.28,1.36
125,napasar,0,IN,1520906988,27,27.97,73.56,71.73,3.27
126,ribeira grande,36,PT,1520906988,95,38.52,-28.7,63.09,31.79
127,caravelas,64,BR,1520906988,100,-17.73,-39.27,80.55,15.68
128,severo-kurilsk,44,RU,1520906989,100,50.68,156.12,25.47,6.73
129,shache,8,CN,1520906869,56,38.42,77.24,48.6,4.61
130,barra do garcas,68,BR,1520906841,95,-15.89,-52.26,72.45,3.15
131,australind,24,AU,1520906990,42,-33.28,115.72,85.95,14.23
132,sao filipe,0,CV,1520906991,92,14.9,-24.5,71.73,17.47
133,provideniya,0,RU,1520904600,64,64.42,-173.23,-2.21,15.66
134,dharangaon,0,IN,1520906991,49,21.01,75.27,78.66,2.71
135,tecpan,0,GT,1520906400,60,14.76,-90.99,71.6,18.34
136,shima,0,JP,1520904600,57,34.34,136.82,50.0,8.05
137,vardo,1,US,1520905980,92,39.62,-77.74,35.6,5.82
138,venado tuerto,20,AR,1520906993,59,-33.75,-61.97,63.72,10.31
139,qaanaaq,44,GL,1520906993,100,77.48,-69.36,-10.54,3.49
140,shelburne,90,CA,1520905560,92,44.08,-80.2,26.6,5.39
141,juneau,90,US,1520904180,100,58.3,-134.42,37.4,3.36
142,viransehir,0,TR,1520906994,77,37.24,39.76,42.03,2.37
143,souillac,20,FR,1520904600,87,45.6,-0.6,44.6,10.29
144,zaritap,48,AM,1520902800,76,39.64,45.51,35.6,6.93
145,megion,0,RU,1520904600,70,61.04,76.11,1.4,6.71
146,kurumkan,44,RU,1520906996,64,54.33,110.32,5.67,2.59
147,tuy hoa,48,VN,1520906997,85,13.08,109.3,76.41,5.17
148,cabo san lucas,20,MX,1520905920,42,22.89,-109.91,80.6,4.7
149,broome,92,GB,1520904480,93,52.47,1.45,41.0,10.29
150,marystown,36,CA,1520906780,96,47.17,-55.16,33.93,15.46
151,kargasok,68,RU,1520906999,66,59.06,80.87,-3.88,5.39
152,sindor,92,RU,1520906999,88,62.87,51.9,17.46,9.53
153,tadine,92,NC,1520907000,97,-21.55,167.88,80.55,21.83
154,poco das trincheiras,64,BR,1520906872,96,-9.31,-37.29,71.37,6.17
155,geraldton,90,CA,1520902800,72,49.72,-86.95,15.8,9.17
156,agadir,0,MA,1520904600,87,30.42,-9.58,55.4,4.7
157,toktogul,88,KG,1520907004,100,41.87,72.95,31.5,1.7
158,leningradskiy,12,RU,1520907005,96,69.38,178.42,-8.2,12.77
159,macomer,20,IT,1520904000,62,40.26,8.77,55.4,8.05
160,poum,36,MK,1520907008,92,41.28,20.71,39.6,2.59
161,jinxiang,0,CN,1520907008,66,35.07,116.31,70.38,14.23
162,avarua,40,CK,1520906400,62,-21.21,-159.78,84.2,9.17
163,roma,40,IT,1520904000,81,41.89,12.48,57.2,3.36
164,whitehorse,75,CA,1520902800,60,60.72,-135.06,41.0,8.05
165,marienburg,75,DE,1520905800,81,52.12,9.98,50.0,8.05
166,grindavik,0,IS,1520906400,79,63.84,-22.43,30.2,13.87
167,chokurdakh,56,RU,1520907012,67,70.62,147.9,-22.51,6.73
168,port macquarie,90,AU,1520902800,57,-31.43,152.91,77.0,4.7
169,kuytun,0,RU,1520907013,70,54.34,101.51,6.21,4.83
170,rundu,8,NA,1520906879,92,-17.91,19.77,64.8,4.16
171,alice springs,0,AU,1520904600,26,-23.7,133.88,84.2,17.22
172,montanhas,40,BR,1520906400,78,-6.49,-35.29,82.4,8.05
173,aransas pass,1,US,1520905860,67,27.91,-97.15,60.8,4.7
174,tasiilaq,12,GL,1520905800,44,65.61,-37.64,21.2,8.05
175,lipari,20,IT,1520902500,67,38.47,14.95,57.2,6.93
176,saskylakh,64,RU,1520907017,82,71.97,114.09,-26.56,6.62
177,mount gambier,48,AU,1520907017,64,-37.83,140.78,67.59,5.5
178,khandyga,48,RU,1520907018,70,62.65,135.58,-1.99,3.6
179,zhangye,0,CN,1520907018,76,38.94,100.46,50.67,4.5
180,yantal,48,RU,1520907019,54,56.85,105.25,6.3,6.4
181,osypenko,0,UA,1520904600,92,48.04,34.39,26.6,13.42
182,damghan,12,IR,1520907019,94,36.17,54.34,38.25,3.04
183,sawakin,0,SD,1520907020,100,19.1,37.33,61.38,5.84
184,nanfeng,24,CN,1520907020,63,27.22,116.52,71.73,3.71
185,raudeberg,8,NO,1520904000,59,61.99,5.14,35.6,13.87
186,lexington,90,US,1520904900,83,38.05,-84.5,37.4,10.29
187,ust-nera,0,RU,1520907022,77,64.57,143.24,-14.68,2.59
188,sibu,75,MY,1520902800,94,2.29,111.83,78.8,5.82
189,teberda,0,RU,1520907023,62,43.44,41.74,10.17,1.03
190,henties bay,0,NA,1520907023,100,-22.12,14.28,60.84,5.39
191,dikson,44,RU,1520907024,100,73.51,80.55,-9.64,18.7
192,tilichiki,8,RU,1520907025,72,60.47,166.1,-2.62,10.2
193,kruisfontein,0,ZA,1520907025,76,-34.0,24.73,65.7,11.65
194,kailua,75,US,1520903460,77,21.39,-157.74,75.2,11.41
195,brigantine,90,US,1520905260,100,39.41,-74.36,35.6,6.93
196,srednekolymsk,48,RU,1520907027,45,67.46,153.71,-14.95,3.38
197,hazorasp,90,UZ,1520904600,86,41.32,61.08,41.0,9.17
198,sao joao da barra,0,BR,1520906757,99,-21.64,-41.05,79.92,11.88
199,iskateley,12,RU,1520907029,80,67.68,53.15,19.53,14.56
200,edd,0,ER,1520907029,90,13.93,41.69,60.03,2.26
201,searcy,1,US,1520902560,57,35.25,-91.74,51.8,5.82
202,pevek,36,RU,1520906784,97,69.7,170.27,-12.16,7.29
203,kozlovo,68,RU,1520907031,93,56.51,36.26,31.05,19.71
204,beruwala,80,LK,1520907031,100,6.48,79.98,80.28,3.49
205,dwarka,0,IN,1520904600,88,28.58,77.04,62.6,4.7
206,waipawa,8,NZ,1520907032,66,-39.94,176.59,68.13,21.05
207,dingle,36,PH,1520906857,89,11.0,122.67,78.75,14.56
208,swan hill,0,AU,1520907033,52,-35.34,143.56,73.35,11.65
209,esil,8,KZ,1520907033,72,51.96,66.41,-2.53,10.42
210,lampazos de naranjo,12,MX,1520907034,37,27.02,-100.51,54.27,3.38
211,tuatapere,80,NZ,1520907035,100,-46.13,167.69,52.11,21.72
212,iqaluit,90,CA,1520902800,84,63.75,-68.52,6.8,3.36
